issue_id,issue_name,when,action,what,user,milestone_id,milestone,description,milestone_user,ctime,dtime,closetime,status
16,Demo finalization (due 20FEB),2017-03-14T03:17:52Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-08T21:23:25Z,converted_note_to_issue,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-11T04:36:39Z,subscribed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-11T04:36:39Z,mentioned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-20T17:51:36Z,moved_columns_in_project,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
24,[Matt - 13FEB] Add Threat Map Buttons,2017-02-22T21:44:11Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-09T14:53:36Z,converted_note_to_issue,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-09T14:54:34Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-10T15:04:01Z,moved_columns_in_project,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-12T16:53:40Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
30,[Tam - 10FEB] Display data from all tables,2017-02-12T16:55:20Z,moved_columns_in_project,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
23,Group meeting on Feb. 14. (3 p.m.) at room 2323 in Hunt Library,2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
23,Group meeting on Feb. 14. (3 p.m.) at room 2323 in Hunt Library,2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
23,Group meeting on Feb. 14. (3 p.m.) at room 2323 in Hunt Library,2017-02-15T17:26:06Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
25,"[Matt - 17FEB] Auto Refresh, No Finger",2017-02-08T21:24:33Z,converted_note_to_issue,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
25,"[Matt - 17FEB] Auto Refresh, No Finger",2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
25,"[Matt - 17FEB] Auto Refresh, No Finger",2017-02-09T14:52:14Z,milestoned,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
25,"[Matt - 17FEB] Auto Refresh, No Finger",2017-02-20T17:51:19Z,moved_columns_in_project,,user3,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
25,"[Matt - 17FEB] Auto Refresh, No Finger",2017-02-22T21:44:11Z,closed,,user1,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
22,[Christine] researching and implementing andoid push notifications / server set up(php),2017-02-07T21:55:44Z,converted_note_to_issue,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
22,[Christine] researching and implementing andoid push notifications / server set up(php),2017-02-07T21:56:06Z,milestoned,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
22,[Christine] researching and implementing andoid push notifications / server set up(php),2017-02-07T21:57:49Z,renamed,,user2,2,FEB Milestone,"+ Propose 3 different ways to solve X
+ Code demos showing the 3 solutions
+ Materials required for user eval sessions.",genterist,2017-01-20T15:25:23Z,2017-02-28T08:00:00Z,,open
